Tag,Supported OS,architecture,Description
corebuild,- Linux - Windows,amd64,Base image including prerequisites for compiling tools + common SDR devices without tweaks
latest,- Linux - Windows,amd64,"The full images including all tools for SDR, Wi-Fi, Bluetooth and RFID used in the Dockerfile file"
sdr_light,- Linux - Windows,amd64,Light image built for SDR uses with limited number of tools used in sdr_light.docker file
sdr_full,- Linux - Windows,amd64,Full image including all SDR tools used in sdr_full.docker file
wifi,- Linux - Windows,amd64,Wi-Fi image for security tests using tools included in wifi.docker
rfid,- Linux - Windows,amd64,RFID image for security tests using tools included in rfid.docker
reversing,- Linux - Windows,amd64,Reversing image for security tests using tools included in reversing.docker
automotive,- Linux - Windows,amd64,Automotive image for security tests using tools included in automotive.docker
bluetooth,- Linux - Windows,amd64,Bluetooth classic and LE image for security tests using tools in bluetooth.docker
rfid_aarch64,- Linux - Windows,arm64/v8,RFID image for security tests using tools included in rfid.docker
sdr_light_aarch64,- Linux - Windows,arm64/v8,Light image built for SDR uses with limited number of tools used in sdr_light.docker file
latest_aarch64,- Linux - Windows,arm64/v8,"The full images including all tools for SDR, Wi-Fi, Bluetooth and RFID used in the Dockerfile file but two tools are missing. Can be used in Apple M1-M3."
sdr_full_aarch64,- Linux - Windows,arm64/v8,Full image including all SDR tools used in sdr_full.docker file but with two missing tools. Also works in Apple M1-M3.
bluetooth_aarch64,- Linux - Windows,arm64/v8,Bluetooth classic and LE image for security tests using tools in bluetooth.docker
reversing_aarch64,- Linux - Windows,arm64/v8,Reversing image for security tests using tools included in reversing.docker
automotive_aarch64,- Linux - Windows,arm64/v8,Automotive image for security tests using tools included in automotive.docker
